Site,tide,chemical,mean_measurement,sd_measurement
BP,High,NN,0.8805000000000001,1.146539833474437
BP,High,Phosphate,0.15375,0.03991577671509389
BP,High,Silicate,7.9025,7.621589022688722
BP,Low,NN,3.9977142857142858,4.245447447986306
BP,Low,Phosphate,0.2285714285714286,0.12102850556651465
BP,Low,Silicate,22.312285714285714,19.210861830456945
W,High,NN,0.2284375,0.12019096029021431
W,High,Phosphate,0.1059375,0.02486860632695691
W,High,Silicate,3.8009375,1.1896037816256575
W,Low,NN,1.0353125,1.8301489175703358
W,Low,Phosphate,0.145625,0.11036413337440688
W,Low,Silicate,24.3596875,35.2614980089428
